num_updates,num_env_steps,sps,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy
10250.0,83968000.0,1137631.0300378872,73.80951976776123,1.0,0.6000000238418579,0.20000000298023224,1.0,0.30000001192092896,0.4000000059604645,0.0,0.5,0.5,0.8552800416946411,0.1600799858570099,0.025039995089173317,0.47367992997169495,0.044759996235370636,0.07815998792648315,0.0,0.11911997944116592,0.21951498091220856,208.625,0.001611873391084373,0.004569681361317635,-0.0006378075340762734,0.03515996038913727
10500.0,86016000.0,1154449.8604029163,74.508216381073,1.0,0.20000000298023224,0.10000000149011612,1.0,0.20000000298023224,0.800000011920929,0.30000001192092896,0.699999988079071,0.5375000238418579,0.8207200169563293,0.07903999090194702,0.01395999826490879,0.5276799201965332,0.02791999652981758,0.3183199465274811,0.11099999397993088,0.11463997513055801,0.25165998935699463,197.0,0.0017378729535266757,0.0047273230738937855,-0.0005953741492703557,0.030414652079343796
10750.0,88064000.0,1164304.2664515835,75.63658618927002,1.0,0.699999988079071,0.699999988079071,1.0,0.5,0.9000000357627869,0.0,0.699999988079071,0.6875,0.8387200236320496,0.21759997308254242,0.12219997495412827,0.5183199644088745,0.11011999100446701,0.4269599914550781,0.0,0.22551999986171722,0.3074299693107605,185.5,0.0016884165816009045,0.004622407257556915,-0.0005932708154432476,0.0295163132250309
11000.0,90112000.0,1211300.3195718268,74.39278149604797,1.0,0.4000000059604645,1.0,1.0,1.0,0.9000000357627869,0.4000000059604645,1.0,0.8375000357627869,0.8538400530815125,0.0817599818110466,0.450639933347702,0.5341599583625793,0.5125599503517151,0.39959996938705444,0.2603200078010559,0.33399996161460876,0.4283599853515625,155.375,0.001601089839823544,0.004524849820882082,-0.0006293787737376988,0.03195641189813614
11250.0,92160000.0,1245630.1159518873,73.98665046691895,1.0,0.4000000059604645,0.30000001192092896,1.0,0.4000000059604645,0.9000000357627869,0.20000000298023224,0.9000000357627869,0.637499988079071,0.8156800270080566,0.07095998525619507,0.0814799964427948,0.5154399275779724,0.055119991302490234,0.42983999848365784,0.03439999371767044,0.44279995560646057,0.3057149648666382,176.875,0.0016341451555490494,0.0045125144533813,-0.0005898288218304515,0.032283149659633636
11500.0,94208000.0,1244160.702402926,75.72012186050415,1.0,0.800000011920929,0.699999988079071,0.800000011920929,0.9000000357627869,0.30000001192092896,0.0,0.5,0.625,0.7962400317192078,0.2988799810409546,0.1531599760055542,0.3967999517917633,0.1414799690246582,0.1430399864912033,0.0,0.11911997944116592,0.256089985370636,187.625,0.0015939908334985375,0.0044589475728571415,-0.0006024408503435552,0.03304219990968704
11750.0,96256000.0,1281213.8739880621,75.12875247001648,1.0,0.5,1.0,0.0,0.800000011920929,0.0,0.0,0.9000000357627869,0.5249999761581421,0.7890400290489197,0.11407997459173203,0.24039998650550842,0.0,0.16711997985839844,0.0,0.0,0.24407997727394104,0.19433999061584473,214.25,0.0016079912893474102,0.004496822599321604,-0.0006104785716161132,0.029941219836473465
12000.0,98304000.0,1296739.2537317588,75.8086097240448,1.0,1.0,1.0,0.20000000298023224,0.800000011920929,0.0,0.0,0.5,0.5625,0.8308000564575195,0.3476799428462982,0.4859199523925781,0.027919990941882133,0.38527998328208923,0.0,0.0,0.30559998750686646,0.29789999127388,165.25,0.0016584557015448809,0.004544520750641823,-0.0005826503620482981,0.031154142692685127
12250.0,100352000.0,1319452.041096973,76.05581474304199,1.0,0.0,1.0,1.0,0.699999988079071,0.9000000357627869,0.30000001192092896,0.800000011920929,0.7124999761581421,0.8466400504112244,0.0,0.27351999282836914,0.5341599583625793,0.18771998584270477,0.4283999502658844,0.06419999152421951,0.33055996894836426,0.3331499695777893,182.875,0.0015961203025653958,0.00442777294665575,-0.0005857304786331952,0.032035455107688904
12500.0,102400000.0,1430650.795144612,71.57581734657288,1.0,0.30000001192092896,0.699999988079071,1.0,0.4000000059604645,1.0,0.10000000149011612,1.0,0.6875,0.8531200289726257,0.05447998642921448,0.1531599760055542,0.5269599556922913,0.0867999941110611,0.4347999691963196,0.024039996787905693,0.24255995452404022,0.29698997735977173,186.0,0.0016109057469293475,0.004453520756214857,-0.0005845956620760262,0.03125897794961929
12750.0,104448000.0,1444757.9160451835,72.29446458816528,1.0,0.800000011920929,0.10000000149011612,1.0,0.0,0.4000000059604645,0.0,0.30000001192092896,0.45000001788139343,0.8322400450706482,0.3499999940395355,0.01179999765008688,0.5082399249076843,0.0,0.16743998229503632,0.0,0.06239999085664749,0.24151498079299927,199.875,0.0015866216272115707,0.004400498233735561,-0.0005827355780638754,0.030892031267285347
13000.0,106496000.0,1476722.393538598,72.11646580696106,1.0,0.699999988079071,1.0,1.0,0.9000000357627869,1.0,0.10000000149011612,1.0,0.8374999761581421,0.8308000564575195,0.18303996324539185,0.41103997826576233,0.48375996947288513,0.3301199674606323,0.38655996322631836,0.06508000195026398,0.317440003156662,0.3759799897670746,175.875,0.0015687732957303524,0.004371311515569687,-0.0005858284421265125,0.03105393797159195
13250.0,108544000.0,1471521.7989318534,73.7630934715271,0.9000000357627869,1.0,0.20000000298023224,1.0,0.30000001192092896,0.9000000357627869,0.20000000298023224,0.800000011920929,0.6625000238418579,0.7696800231933594,0.34623995423316956,0.04447999224066734,0.5283999443054199,0.045479994267225266,0.3837599754333496,0.13016000390052795,0.31832000613212585,0.32081496715545654,172.125,0.0017202238086611032,0.004663648083806038,-0.000581543892621994,0.03005620650947094
13500.0,110592000.0,1513967.8912466539,73.0477843284607,1.0,0.0,0.0,1.0,0.0,0.20000000298023224,0.0,0.30000001192092896,0.3125,0.8163999915122986,0.0,0.0,0.4311999976634979,0.0,0.037279993295669556,0.0,0.08327998965978622,0.17101998627185822,213.625,0.0016354144318029284,0.004446602892130613,-0.0005590791115537286,0.028807934373617172
